targetid,survey,program,desi_target,z,zwarn,spectype,desiname,specid,redshift
39627938991182215,main,bright,1152921504606846976,0.2662542933048365,0,GALAXY,DESI J207.0935+06.2762,3.9627938991182216e+16,0.26625429330483646
39627832225170122,main,bright,1152921504606846976,0.3970994871338859,0,GALAXY,DESI J311.0155+01.6874,3.962783222517012e+16,0.39709948713388593
39627467870182388,main,bright,1152921504606846976,0.2309327988730732,0,GALAXY,DESI J036.8842-13.2120,3.962746787018238e+16,0.23093279887307322
39633259113482513,main,bright,1152921504606847233,0.5220341971292105,0,GALAXY,DESI J128.2707+50.7483,3.963325911348251e+16,0.5220341971292105
39628177730962407,main,bright,1152921504606846976,0.2421591511797158,0,GALAXY,DESI J321.2726+16.1361,3.962817773096241e+16,0.24215915117971581
39627673017783943,main,bright,1152921504606846976,0.129598665540387,0,GALAXY,DESI J177.7147-04.7247,3.9627673017783944e+16,0.12959866554038704
39627993764597263,main,bright,1152921504606846976,0.1550705786761531,0,GALAXY,DESI J256.1116+08.5314,3.962799376459726e+16,0.15507057867615312
39628037750264020,main,bright,1152921504606846976,0.1981802063627586,0,GALAXY,DESI J031.9341+10.4616,3.962803775026402e+16,0.19818020636275863
39627643468909885,main,bright,1152921504606846976,0.1284180166039063,0,GALAXY,DESI J210.2899-05.9400,3.962764346890989e+16,0.12841801660390625
39627937896466779,main,bright,1152921504606846976,0.2324578470702011,0,GALAXY,DESI J141.3845+06.2064,3.9627937896466776e+16,0.23245784707020112
39627763979653496,main,bright,1152921504606846976,0.3294472786323993,0,GALAXY,DESI J203.4456-01.0594,3.9627763979653496e+16,0.32944727863239925
39627847395970190,main,bright,1152921504606846976,0.193288663061265,0,GALAXY,DESI J135.3833+02.6151,3.962784739597019e+16,0.19328866306126496
39627625500508537,main,bright,1152921504606846976,0.3311931917072998,0,GALAXY,DESI J213.4496-06.7091,3.9627625500508536e+16,0.3311931917072998
39633493826735466,main,bright,1152921504606846976,0.1142812107790846,0,GALAXY,DESI J185.9437+70.4412,3.9633493826735464e+16,0.11428121077908455
39627688339574441,main,bright,1152921504606846976,0.1122962180441891,0,GALAXY,DESI J012.9056-04.0469,3.962768833957444e+16,0.11229621804418909
39627975045418789,main,bright,1152921504606912513,0.5012486019045487,0,GALAXY,DESI J210.1640+07.7251,3.962797504541879e+16,0.5012486019045487
39628217048371075,main,bright,1152921504606846976,0.3677078217838093,0,GALAXY,DESI J251.2631+17.9543,3.962821704837107e+16,0.36770782178380934
39627750859866665,main,dark,1152921504606912513,0.2307075193851598,0,GALAXY,DESI J141.2741-01.6230,3.9627750859866664e+16,0.23070751938515985
39628191962239633,main,bright,1152921504606846976,0.1572094042840378,0,GALAXY,DESI J126.1099+16.9113,3.962819196223963e+16,0.15720940428403785
39633275836174170,main,bright,1152921504606846976,0.08572369354370742,0,GALAXY,DESI J275.7179+51.6434,3.963327583617417e+16,0.08572369354370742
39633329724592147,main,bright,1152921504606846976,-0.0002178405233303047,0,STAR,DESI J277.8062+55.5396,3.963332972459214e+16,-0.0002178405233303047
39633207976526312,main,bright,1152921504606846976,0.3166088026859863,0,GALAXY,DESI J168.6101+47.4182,3.963320797652631e+16,0.3166088026859863
39627652671214064,main,dark,1152921504606912513,0.3515932515634602,0,GALAXY,DESI J041.0452-05.5843,3.962765267121406e+16,0.3515932515634602
39628270383140591,main,bright,1152921504606846976,0.1034409259127347,0,GALAXY,DESI J011.6362+20.5651,3.962827038314059e+16,0.10344092591273472
39627961980162047,main,bright,1152921504606846976,0.189563205177305,0,GALAXY,DESI J145.6926+07.3662,3.962796198016205e+16,0.18956320517730502
39633030913983158,main,bright,5764607523034234880,0.1406787429874572,0,GALAXY,DESI J273.3215+37.5079,3.963303091398316e+16,0.14067874298745717
39628335667481322,main,bright,1152921504606846976,0.3282030419246919,0,GALAXY,DESI J237.9988+23.1607,3.962833566748132e+16,0.32820304192469185
39627835773553064,main,bright,1152921504606846976,0.3411663962282607,0,GALAXY,DESI J162.6110+02.0917,3.9627835773553064e+16,0.34116639622826067
39627673151997941,main,bright,1152921504606846976,0.1794002953802556,0,GALAXY,DESI J185.6064-04.8738,3.9627673151997944e+16,0.1794002953802556
39628307087493769,main,bright,1152921504606846976,0.2751201877046264,0,GALAXY,DESI J194.9307+22.1180,3.962830708749377e+16,0.2751201877046264
